,city,postal code,city_GIS_1,city_GIS_2,branch_GIS_1,branch_GIS_2,postalcode_GIS_1,postalcode_GIS_2
0,بوئین زهرا,3454178378,35.76775,50.057667,35.76775,50.057667,3454178378.0,
1,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
2,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
3,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
4,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
5,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
6,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
7,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
8,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
9,بوئین زهرا,3454157113,35.76775,50.057667,35.76775,50.057667,,
10,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
11,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
12,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
13,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
14,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
15,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
16,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
17,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
18,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
19,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
20,بوئین زهرا,3454177511,35.76775,50.057667,35.76775,50.057667,,
21,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
22,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
23,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
24,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
25,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
26,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
27,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
28,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,35.76775,50.057667,35.76775,50.057667
29,بوئین زهرا,1456944511,35.76775,50.057667,35.76775,50.057667,,
30,بوئین زهرا,"35.767750, 50.057667",35.76775,50.057667,,,35.76775,50.057667
