iter	Passed	Remaining
0	72	72708
1	74	37167
2	75	25210
3	77	19176
4	78	15581
5	79	13245
6	81	11541
7	82	10206
8	83	9191
9	85	8431
10	87	7833
11	88	7292
12	89	6811
13	90	6402
14	92	6066
15	94	5805
16	95	5522
17	96	5286
18	98	5075
19	99	4871
20	100	4702
21	101	4531
22	102	4371
23	104	4249
24	105	4127
25	107	4013
26	107	3887
27	108	3783
28	110	3689
29	111	3589
30	111	3499
31	112	3407
32	113	3315
33	113	3231
34	114	3158
35	115	3099
36	116	3027
37	116	2959
38	117	2901
39	118	2842
40	118	2782
41	119	2728
42	120	2674
43	120	2625
44	121	2574
45	121	2526
46	122	2480
47	122	2437
48	123	2395
49	123	2354
50	124	2317
51	125	2281
52	125	2244
53	126	2208
54	126	2174
55	127	2145
56	127	2115
57	128	2088
58	128	2056
59	129	2029
60	130	2002
61	130	1975
62	131	1949
63	131	1924
64	132	1899
65	132	1876
66	132	1851
67	133	1828
68	133	1805
69	134	1786
70	135	1768
71	135	1749
72	136	1730
73	136	1708
74	136	1689
75	137	1670
76	137	1651
77	138	1634
78	138	1615
79	139	1598
80	139	1583
81	139	1567
82	140	1552
83	140	1537
84	141	1526
85	142	1515
86	143	1500
87	143	1485
88	143	1472
89	144	1460
90	144	1447
91	145	1434
92	145	1421
93	146	1408
94	146	1395
95	147	1384
96	147	1372
97	147	1359
98	148	1347
99	148	1337
100	148	1325
101	149	1314
102	149	1304
103	150	1294
104	150	1284
105	151	1274
106	151	1264
107	152	1255
108	152	1245
109	152	1235
110	153	1227
111	153	1217
112	153	1208
113	154	1200
114	154	1192
115	155	1185
116	156	1180
117	157	1173
118	157	1166
119	157	1157
120	158	1149
121	158	1140
122	158	1133
123	159	1125
124	159	1117
125	160	1110
126	160	1104
127	161	1097
128	161	1091
129	162	1085
130	163	1081
131	163	1076
132	164	1071
133	164	1065
134	165	1060
135	165	1054
136	166	1048
137	166	1042
138	167	1035
139	167	1029
140	168	1023
141	168	1017
142	168	1011
143	169	1005
144	169	999
145	170	995
146	170	991
147	171	986
148	171	980
149	172	974
150	172	969
151	172	964
152	173	959
153	173	954
154	174	948
155	174	943
156	174	939
157	175	934
158	175	930
159	176	925
160	176	921
161	177	918
162	178	914
163	178	910
164	179	906
165	179	901
166	179	897
167	180	893
168	180	889
169	181	885
170	182	882
171	182	878
172	183	875
173	183	871
174	184	869
175	185	866
176	185	863
177	186	859
178	186	856
179	187	853
180	187	849
181	188	846
182	188	843
183	189	840
184	189	836
185	190	833
186	190	829
187	191	828
188	192	825
189	193	822
190	193	819
191	194	816
192	194	814
193	195	811
194	195	809
195	196	805
196	196	802
197	197	799
198	197	796
199	198	794
200	199	792
201	199	789
202	200	787
203	201	784
204	201	782
205	202	779
206	202	777
207	203	774
208	204	772
209	204	770
210	205	767
211	205	764
212	206	762
213	207	760
214	207	758
215	208	755
216	208	752
217	209	749
218	209	747
219	210	745
220	210	742
221	211	740
222	211	737
223	212	735
224	212	732
225	213	730
226	214	729
227	214	727
228	215	725
229	215	722
230	216	720
231	216	718
232	217	715
233	217	713
234	218	711
235	218	708
236	219	706
237	219	703
238	220	701
239	221	699
240	221	697
241	222	695
242	222	693
243	223	691
244	223	688
245	224	686
246	224	684
247	224	682
248	225	679
249	225	677
250	226	675
251	227	673
252	227	671
253	228	670
254	228	668
255	229	666
