                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6217,                 4.5831,                 5.0519,                 1.3614,                0.00474,                   0.25,                0.00358,                0.00166,                0.00395,                0.20833,                0.00263,                0.00099,                 2.4571,                 2.2201,                 3.7925,                  1.411,                  0.091,                  0.001,                  0.001
                      1,                 2.0052,                 3.5235,                 3.0801,                 1.1136,                  0.229,                0.20833,                0.12833,                0.06605,                0.27739,                0.20795,                0.12395,                0.04341,                 1.8252,                 1.3654,                 2.5114,                0.98043,                0.08109,              0.0020896,              0.0020896
                      2,                 1.6362,                 2.7298,                 1.7311,                0.96723,                0.59881,                0.37327,                 0.2869,                0.11518,                0.68027,                0.41667,                0.36284,                0.09589,                 1.5413,                  1.196,                 2.5434,                0.91189,               0.071168,              0.0031683,              0.0031683
                      3,                 1.5249,                 2.1228,                 1.5534,                0.89614,                0.45353,                  0.375,                0.31284,                0.13445,                0.68068,                 0.4447,                0.41167,                0.18958,                 1.8439,                 1.0422,                 1.6999,                0.94643,               0.061236,              0.0042361,              0.0042361
                      4,                 1.4186,                 2.0666,                 1.3596,                0.87185,                0.72935,                  0.375,                0.41836,                0.21879,                0.64791,                0.33333,                0.33628,                0.14502,                 1.4741,                 1.1125,                 1.5113,                0.94241,               0.051293,              0.0052931,              0.0052931
                      5,                  1.592,                 2.2343,                 1.5552,                0.89581,                0.76657,                0.33333,                0.37523,                0.20469,                 0.7247,                    0.5,                0.51165,                0.21506,                  1.748,                 1.1987,                 1.1487,                0.93294,               0.041339,              0.0063391,              0.0063391
                      6,                 1.6536,                 2.1208,                  1.076,                0.89157,                0.78957,                0.46958,                0.53574,                0.25535,                0.56714,                   0.25,                0.28635,                 0.1451,                 1.7371,                 1.3998,                0.94596,                0.94267,               0.031374,              0.0073743,              0.0073743
                      7,                 1.6589,                 1.9779,                 1.1166,                0.88879,                0.60065,                0.41667,                0.40762,                0.19429,                0.60065,                0.41667,                0.46704,                0.19483,                 1.6628,                 1.4107,                 1.0101,                0.95664,               0.021399,              0.0083985,              0.0083985
                      8,                 1.5523,                 2.2969,                 1.0697,                 0.8973,                0.65507,                    0.5,                0.46771,                0.24575,                0.49043,                  0.375,                0.36454,                0.17489,                 1.7669,                 1.6629,                 1.1159,                0.94695,               0.011412,              0.0094119,              0.0094119
                      9,                 1.4714,                 2.1185,                0.98533,                0.88161,                0.46854,                0.36767,                0.31027,                0.13913,                0.29593,                   0.25,                0.16868,                 0.0625,                 1.7338,                 1.1666,                 1.4863,                0.96409,              0.0095545,              0.0095545,              0.0095545
                     10,                 1.6117,                 2.0429,                 1.2527,                0.89476,                 0.5699,                  0.375,                0.35534,                0.15939,                0.53235,                 0.3321,                0.32213,                0.11947,                  1.739,                 1.5416,                 2.0283,                0.95282,              0.0095545,              0.0095545,              0.0095545
                     11,                  1.539,                 1.9089,                 1.3322,                0.88466,                0.41987,                0.41667,                0.35215,                0.13126,                0.66833,                0.20833,                 0.2776,                0.10645,                 2.2149,                 1.4294,                 1.7161,                 1.0671,               0.009505,               0.009505,               0.009505
                     12,                 1.6867,                 1.7991,                 1.2471,                0.90622,                0.91534,                0.29167,                0.41369,                0.17461,                0.86051,                   0.25,                0.35493,                0.12523,                 2.0332,                 1.3182,                 1.7654,                 1.0143,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7518,                 2.0101,                 1.1964,                0.91866,                0.48419,                0.41667,                0.29903,                0.13341,                0.48419,                0.41667,                0.32404,                0.12014,                 2.1877,                 1.4603,                 2.3113,                 1.0422,               0.009406,               0.009406,               0.009406
                     14,                 1.6367,                 1.8171,                 1.0454,                0.90782,                  0.673,                  0.375,                0.40623,                 0.1694,                  0.673,                  0.375,                0.41586,                0.14628,                 2.0532,                 1.1926,                 1.7302,                 1.0045,              0.0093565,              0.0093565,              0.0093565
